Review,Positive Word Count,Negative Word Count,Sentiment Score
"people talking, ca n't believe excellent ratings hotel, just n't, yes patricia extremely helpful fluent languages goes way make welcome, said place bit dump, inexpensive hotel expensive city place bit dated institutional odor charm funeral home, walking steps hotel girlfriend step condom yes condom steps, lots guys hanging desk hallway, girlfriend swears house prostitution, patricia did arrange taxi following morning stayed night did wrong information cost fare, rooms clean large bathroom small, passable night glad leave following morning not recommend extended stay unless tight budget n't care look feel place,  ",8,3,4
"hotel theft ruined vacation hotel opened sept 17 2007 guests week, happy stumble scouting hotels apt stay booked gobcn- commented post unexpectedly cancelled arrival stuck place stay la merce festival barcelona biggest year, like trying hotel times square new year eve, vacancies hotel 1. new 2. not ready guests, new, hotel towels straight factory not washed pilling shower, not ready, entire week sept 21 28 slept proper blanket comforter n't arrived, got chilly night gave fleece throw supplied sister hotel ciutat barcelona hotel lime green colour scheme red black white spare cold, drawback double beds singles adjoined n't bothered hotels linens separately fish sheets order sleep couple fall lie middle, beds hard firm so-so quality foam pillows, best qualities hotel location close las ramblas hear street noise somewhat walkable attractions bari gottic, designed clean stylish hotel not clean 10 rooms construction things like cement drippings not scraped linoleum floor room etc., importantly room safe not securely bolted floor.i travel cash coming korea unfavorable exchange rate preferred not use canadian visa card unsure korean credit cards work overseas turns did husband did n't, carried moneybelt time life like heard barcelona petty theft problems witnessing mass humanity las ramblas wallet separated person blink eye, saw hotel safe stored money explicitly advised hotel security briefing form given guests check-in use hotel safe not leave valuable objects large cash room, no central safe reception meant use safe room, day stay discovered contents hotel room safe missing, n't open lock code n't working, receptionist came master code unlocked safe gone, 1,700 euros husband passport missing, incredibly shocked shaken, hours police report investigation staff fingerprinted room brushed fingerprints, later discovered guest fake belgian passport invalid credit card adjoining room broken terrace not room room room steal bag day prior, came room unbolted shelving safe bolted dragged shelf safe room dragged shelf safe, switched safes, used rolling carry-on bag stole room carry safe, talk ingenious crime.we suffered not theft aftermath primarily dealing hotel manager manages ciutat barcelona hotel not elusive refused meet person accessible telephone staff evasive compensated, end says expedited insurance process euros returned finally day departure barcelona going venice weekend waiting usually 2 month-long process grateful not compensate costs recovering passport husband nationality korean going consulate barcelona discover honorary does n't issue passports informed embassy madrid new temporary passport traveled madrid train day 9 hour+ return trip wasted day insurance cover stolen money said.after theft shaken no energy appetite tour sights wanted gaudi buildings park guell forever teenager planned months trip husband week year notoriously short korean vacations managed link weekends time vacation time particularly precious squeezed day, belongings felt secure hotel thereafter.they gave cheque compensating lost euros signing document spanish indemnified claims, did n't want sign document said n't cheque, needed cash point basically blackmailed signing document.to add insult injury checking informed hotel payable robbery thing hotel, balked offered 25 reduction, refused threatened police not paying hotel, unbelievable, think hotel extremely apologetic offer no charge stay night 3 days trip absolutely ruined, told gladly paid entirety hotel trip went just planned incident caused hotel negligence lack security flimsy locks not checking guests properly not informing guests room theft completely marred stay barcelona, said pay room theft occurred compensated costs recovering husband passport, reiterated insurance covered lost money n't true usually insurance cover entire contents no, guests stolen bag surely receive reimbursement insurance company, plan pursue hotel wonder vain real stickler did n't responsibility liability n't fault guest, unlucky., end plane catch paid nights robbery gladly left hotel.incredibly attests petty crime problem barcelona absolutely beautiful city hotel guest room got bag stolen restaurant chair eating dinner, shaken accompanied police station file report, returned hotel n't fixed phone connection needed contact family boyfriend germany appeared unsympathetic, problems wi-fi connection, theft staff fine save manager professional apologetic theft, manager offered weakest apology night occured hard-line meant lot met face face, minimum heartfelt apology opinion.in mossos d'esquadra barcelona police young undercover vigilant excellent thorough impressive, got story theft bit bit uncovered things not hotel gave news, opposed random pickpocketing problem barcelona working hard resolve n't want lose tourists affects barcelonins treated crime quite seriously appeared inside job.all incredibly sad disappointing frustrating experience, hotel reacted affected things great deal stand proper felt free actually tour sights incident knowing working hard recover loss instead feeling insecure victimized.this hotel clearly not ready guests opened security properly established, cctv cameras helpful not entrance affixed terrace building, night area hopping wee hours c. tallers hotel located brightly lit deter muggings 4 star hotels corner.one receptionists said hotel overpriced 3 star hotel paying location newness minimalist style hotel, said walks 40 euros pocket.there wealth good hotel rooms apt stay opportunities barcelona city fabulous encourage seek,  ",50,60,1
"ok just looks nice modern outside, desk staff n't particularly friendly, corridors dark smelt steam cleaned carpet maybe good thing, hotel right space needle thrilling pulled mins walk away, unfortunately room rear view buildings parking lot, rooms space needle view.there no hotel laundry suprising larger hotel.hotel restaurant mistakes menu ordering new guy think numerous items left tray room service breakfast, phone promptly delivered,  ",6,4,3
"great location price view hotel great quick place sights.directly street space needle downtown tram science center downtown mall.amenities nice indoor pool kids secure underground parking garage great restaurant.rooms great size couples families.recommend hotel visiting like tostay downtown near sights,  ",6,0,4
"best kept secret 3rd time staying charm, not 5-star ca n't beat, time stayed increased esteem, bw caters business crowd stayed leisure usually weekend, rate perfect, clean green request available drop-dead view space needle practically street, ask check-in make sure, mere walk belltown 5 short blocks choices restaurants wine spirits bars younger folks clubs live music pubs jazz clubs weather permits nice hoof pike, n't usual bw complimentary continental breakfast buffet b/c rates lower splurge breakfast room service, parking free lower locked parking cameras felt cool leaving shopping finds great shopping city discretely tucked away suv, check money not long best kept secret status longer, kudos staff management property,  ",9,0,4
"not impressed unfriendly staff checked asked higher floor 3rd floor highest lady desk told provide particular room second floor, used aaa rate guess restricted certain block rooms, fine got room place smelling badly food previous guest, windows wide open obviously rid smell, needless say freezing damp raining early june, checked downstairs complained, hesitated room, extremely unfriendly staff, breakfast ok heard guest comment staying years butthat hotel really gone downhill terms standards, hallways use bit uplift cleaned not recommend hotel all.the good thing use environmental friendly products bathrooms,  ",6,8,2
"deceptive staff deceptive desk staff claiming not park street 10pm 4am order try pay 15 parking fee, completely not true, parking free seattle street 6pm 8am.they deceptive signage outside building facing street saying no parking 10pm 4am wrong, public street falls seattle bylaws, locals know park nearby late-night club, save money park street plenty free space area stay travel lodge door offers free parking.as room organic fresh odor neutralizer stuff use nauseously overpowering, attempts eco-friendly lost blast heat window wide open order try aerate room, minor complaints, sucks room key big advertisement pizza company advertising overbearing signage room guess expected major chain,  ",4,7,2
"good bed clean convenient just night happy stay hotel, clerks evening morning courteous helpful, bed comfortable, room clean comfortable, location good, easy walk trade convention center downtown.i left window open night air hear traffic noise not lot traffic noise, traffic noise lot like listening ocean washing beach.noise not issue hotel, n't bar music noisy people disturbance all.i definitely stay hotel seattle,  ",7,5,3
"great choice wife chose best western quite bit research, looking near downtown free parking air conditioning pregnant hot, location good close space needle seattle offers free bus rides downtown area free wireless nice continental breakfast pretty impressive, room spacious bed fairly comfortable good pillows shower hot water good pressure, complaints desk aside john c. n't help, desk staff consisted young people mean n't social skills confidence answer good tourist questions, negotiate free parking told offered phone, nice cooperative parking issue, great value going place offers needs good big city price, note golden singha thai restaurant cedar short walk central downtown needle excellent food 8 dinner,  ",22,1,5
"ok price look hotel ok little run average cleanliness chose price seattle quite expensive, did n't room/bed reserved staff unhelpful, best westerns used nice hotels does n't fit mold, choose different hotel probably expensive time visit seattle,  ",3,1,3
